view_id,from,vias,to,maneuver_type,maneuver_modifier,first_lane_from_right,lanes,entry,entry_out,all_number,lat,lon,cases,city_code
9679348782_9679348783_11992269537,9679348782,9679348783,11992269537,exit roundabout,uturn,0,0,3,2,377,1.322682,103.854758,"A-6VKDER7GWI2G,A-6VOW3IIGWHS5,A-6VLXJPCGWHRO,A-6VL3CNOGWHWC,A-6VN475MGWGOV",SIN
10852995625_1792732347_1792732365,10852995625,1792732347,1792732365,continue,uturn,0,1,3,2,368,1.290805,103.800988,"A-6VK8KJUWWIXJ,A-6VLSW7KWWF44,A-6VMEUHIWWF4B,A-6VLL9FLWWE5M,A-6VM44VSWWH6W",SIN
6745263292_172481433_6164094526,6745263292,172481433,6164094526,continue,uturn,0,1,3,2,367,1.291234,103.819373,"A-6VKSU5MGWJUF,A-6VMO9CHGWITM,A-6VKTO4KGWJUI,A-6VKOHG6WWH6E,A-6VKH4OXWWH6E",SIN
5284988416_243479496_571443275_571443277_243479523_5284988417,5284988416,"243479496,571443275,571443277,243479523",5284988417,continue,uturn,0,2,4,1,361,1.301928,103.897082,"A-6VK9I2VWWIWG,A-6VKO5WBWWG9K,A-6VO9TO2WWEHN,A-6VLF4DPWWFF9,A-6VKGN86GWG9K",SIN
1683121611_408733173_1683121563,1683121611,408733173,1683121563,exit rotary,uturn,0,0,3,2,357,1.294648,103.85929,"A-6VLF97QWWIPC,A-6VKU2O4WWH2A,A-6VLD865WWG7G,A-6VKHUBDGWIPC,A-6VKAEJMGWJUI",SIN
4723212869_4747983130_7045345416,4723212869,4747983130,7045345416,continue,uturn,0,1,3,2,356,1.275321,103.794329,"A-6VL8RATWWH2A,A-6VMBEWUWWEVJ,A-6VLCBR7GWEMR,A-6VK6ULQGWE28,A-6VKAD4WGWIAI",SIN
6331788904_237218779_237170711,6331788904,237218779,237170711,continue,uturn,0,2,4,1,356,1.279839,103.839615,"A-6VNKTWBWWJQ2,A-6VO2LVPWWGVH,A-6VO3MUVGWFFM,A-6VKHWMAWWGW5,A-6VKKNEDGWH6W",SIN
26778859_26778928_4602991393,26778859,26778928,4602991393,continue,uturn,0,3,3,2,356,1.303584,103.853772,"A-6VKM79RWWIWG,A-6VL4V85GWEXC,A-6VN3DFXWWIQQ,A-6VNAMNXWWJ2I,A-6VO7HV5WWJAU",SIN
236507676_1744512255_1811582939,236507676,1744512255,1811582939,continue,uturn,0,1,3,2,353,1.318908,103.830218,"A-6VO2526GWGVH,A-6VNRT9DWWJAU,A-6VLQVV3GWF4B,LatLngNav-1727924697,A-6VLRRE4GWEHW",SIN
5133988580_6324700981_7825233610_7825233611_1832238059_6448634631,5133988580,"6324700981,7825233610,7825233611,1832238059",6448634631,continue,uturn,0,1,3,2,349,1.282957,103.859809,"A-6VL5O96WWHIG,A-6VO7X9CGWJQ2,A-6VLOA4JWWGOV,A-6VKTUQRWWF44,A-6VN62WFWWIQQ",SIN
4311458660_232207249_232207771_4311458659,4311458660,"232207249,232207771",4311458659,continue,uturn,0,1,4,2,346,1.29248,103.849637,"A-6VMM8UTGWJDN,A-6VLNF77GWHRG,A-6VMJ33GW2FN5,A-6VL4SH7WWG5C,A-6VL5VC5WWFN5",SIN
8219305530_229523612_11536167222,8219305530,229523612,11536167222,continue,uturn,0,2,5,2,344,1.343224,103.870494,"A-6VOWRXEWWJ73,A-6VOXCVOWWHKL,A-6VLAMV9WWJUF,A-6VKFLSFGWG3O,A-6VL36APWWETN",SIN
5217064495_7001023508_7001023509,5217064495,7001023508,7001023509,continue,uturn,0,1,3,2,344,1.36121,103.988998,"A-6VMQVS6WWEJ7,A-6VLQEANGWIQQ,A-6VO5QTKGWHKL,A-6VLRSO3WWH6W,A-6VMU5GIWWJUF",SIN
5288137040_4668715299_386343036_5661639121,5288137040,"4668715299,386343036",5661639121,continue,uturn,0,1,3,2,338,1.352345,103.945638,"A-6VKO29MWWF2T,A-6VMHCQJWWIWG,A-6VKTG4QGWGOV,A-6VKAPO8WWIXJ,A-6VKNSQDWWEP2",SIN
236593863_5178641472_5178641471,236593863,5178641472,5178641471,continue,uturn,0,1,3,2,337,1.346423,103.771974,"A-6VMBQO9GWE28,A-6VMC64PWWH2A,A-6VN3XBHWWJA2,A-6VL2592WWGIN,A-6VLP4XFWWEJU",SIN
6130573172_2391200762_8498896359,6130573172,2391200762,8498896359,continue,uturn,0,1,3,2,336,1.316879,103.835534,"A-6VLMXMCWWEJU,A-6VMA7A5GWE69,A-6VLNU6EGWHIG,A-6VNHPMLWWEKW,A-6VO9QO9WWJAU",SIN
6135557327_4720566510_4720566511,6135557327,4720566510,4720566511,continue,uturn,0,1,3,2,335,1.33239,103.794228,"A-6VKB4FVWWF44,A-6VK9P98WWG9K,A-6VMBGNDWWG5C,A-6VLLJBNWWJWN,A-6VMWNCSGWJUI",SIN
