fid,TYP_CD,BEARG_NUM,TYP_CD_DES,BEARG_NUM_,Longitude,Latitude
90,,269.56936122,U-Turn [3008],,103.893146152855,1.37302184113784
91,,128.863,U-Turn [3008],,103.853280870218,1.33821804691091
92,,280.71862454,U-Turn [3008],,103.946329020376,1.33781088860441
93,,250,U-Turn [3008],,103.82583057608,1.27070330921356
94,,112.91933187,U-Turn [3008],,103.93324286457,1.37289131052512
95,,150,U-Turn [3008],,103.791205081976,1.43075310273955
96,,254,U-Turn [3008],,103.792157320483,1.43019524084992
97,,157,U-Turn [3008],,103.817292383879,1.45176240467311
98,,190,U-Turn [3008],,103.853918670224,1.28683433006883
99,,223,Watch Out For U-Turning Vehicles [3087],,103.852453119331,1.28837965868997
100,,305.26643837,U-Turn [3008],,103.770996224405,1.38673609954351
101,,359,U-Turn [3008],,103.830120919533,1.29815423346521
102,,359,"U-Turning Vehicles, Keep Right [3029]",,103.83012039294,1.29819086657009
103,,96,U-Turn [3008],,103.810620391114,1.28146494497795
104,,255,U-Turn [3008],,103.793434252949,1.44637867265401
105,,293,U-Turn [3008],,103.753413773499,1.34917453451234
106,,106.88293511,U-Turn [3008],,103.787187920345,1.27793456994067
107,,271.36622496,U-Turn [3008],,103.847379739536,1.34385945668321
108,,270.33081631,"U-Turning Vehicles, Keep Right [3029]",,103.847404069862,1.34385874209438
109,,17,U-Turn [3008],,103.787494971919,1.43115317675859
110,,278,U-Turn [3008],,103.788520575981,1.43222599838973
111,,131.97814283,U-Turn [3008],,103.898087438362,1.38331515507252
112,,146,U-Turn [3008],,103.794926594008,1.44219845461579
113,,99,U-Turn [3008],,103.773281408715,1.34028772042054
114,,191.08393757,U-Turn [3008],,103.89707262549,1.38044290211768
115,,350,U-Turn [3008],,103.800682146244,1.4558377604548
116,,20.91932382,U-Turn [3008],,103.898891384836,1.39442279453587
117,,160,U-Turn [3008],,103.83156217848,1.4539776221872
118,,79,U-Turn [3008],,103.849286051943,1.36890978944212
119,,336.79017246,U-Turn [3008],,103.822985356857,1.44660068849302
120,,77,U-Turn [3008],,103.787018835563,1.45137003536806
121,,290.70266118,U-Turn [3008],,103.793799632884,1.27561764505623
122,,270.62965381,U-Turn to CTE [3299],,103.847834745505,1.34385332874716
123,,37,U-Turn [3008],,103.958998003906,1.33654302271884
124,,203.423,U-Turn KEEP RIGHT [3188],,103.833580550837,1.30834578085329
125,,351,U-Turn [3008],,103.815150867116,1.45407381509789
126,,23.10020061,U-Turn [3008],,103.905887941446,1.40191115147077
127,,53.9767425,U-Turn [3008],,103.765426194121,1.31649069752359
128,,6,U-Turn [3008],,103.828370074114,1.37701098349218
129,,180,U-Turn [3008],,103.828413091059,1.37634970250758
130,,304,U-Turn [3008],,103.79592470619,1.43347489538068
131,,103,U-Turn [3008],,103.7918012868,1.43515256023123
132,,297.7585406,U-Turn [3008],,103.824470772692,1.28158678462746
133,,293.30926467,"U-Turning Vehicles, Keep Right [3029]",,103.824501103811,1.28157170354343
134,,73,U-Turn [3008],,103.791530970572,1.44575254284231
135,,269,U-Turn [3008],,103.823400844226,1.45874059457206
136,,354,U-Turn [3008],,103.847846425105,1.37561783538168
137,,157,U-Turn [3008],,103.84129071507,1.38857676854142
138,,65.47652302,"U-Turning Vehicles, Keep Right [3029]",,103.802126376743,1.44995719894968
139,,64.98369788,U-Turn [3008],,103.802149374493,1.4499677143033
140,,356.92903228,U-Turn [3008],,103.79588506047,1.43605582361064
141,,335,U-Turn [3008],,103.947744023062,1.31886842863355
142,,163,U-Turn [3008],,103.945193092636,1.31699375120476
143,,177.46808604,U-Turn [3008],,103.775455304097,1.36524395407466
144,,32.75541186,U-Turn [3008],,103.786441353035,1.30105593350907
145,,40,"U-Turning Vehicles, Keep Right [3029]",,103.888149801912,1.38143845245124
146,,45,U-Turn [3008],,103.972432298783,1.37159130569117
147,,336,U-Turn [3008],,103.819488021734,1.44663404165638
148,,139,"U-Turning Vehicles, Keep Right [3029]",,103.860964286312,1.30374309175168
149,,291.67405787,U-Turn [3008],,103.794661171838,1.2753220195785
150,,116.52472066,U-Turn [3008],,103.806021924541,1.27187286598622
151,,247.5061292,U-Turn [3008],,103.82659444605,1.43563709799301
152,,260.27242145,U-Turn [3008],,103.820869473027,1.4496413184219
153,,170,U-Turn [3008],,103.825366278375,1.43867718875061
154,,127.34932437,U-Turn [3008],,103.824294361742,1.41252898279838
155,,74,U-Turn [3008],,103.892177726868,1.36135943357909
156,,53.7257802,U-Turn [3008],,103.84447418974,1.38994419665868
157,,223,U-Turn [3008],,103.709862001829,1.34601185048381
158,,280,U-Turn [3008],,103.881212548793,1.35096038715659
159,,327,Road/Place U-turn Ahead) [3153],,103.868589400852,1.32998135777262
160,,13.64916109,U-Turn [3008],,103.941496056688,1.35104244825306
161,,352.83397229,U-Turn [3008],,103.75491296197,1.43630293044858
162,,211.71017651,U-Turn [3008],,103.886370685912,1.37269900939807
163,,274.46715906,U-Turn [3008],,103.843470598158,1.36430788758355
164,,274.46715906,"U-Turning Vehicles, Keep Right [3029]",,103.843496936087,1.36430637266152
165,,192,"U-Turning Vehicles, Keep Right [3029]",,103.897085895279,1.38049730465906
166,,327,U-Turn [3008],,103.829808424179,1.45686632029498
